2017-04-05 17:01:03,1,10002,4,CBS,0
2017-04-05 17:01:04,3,10004,5,MSNBC,UNCLEAR
2017-04-05 17:01:05,2,10003,1,BBC,2
2017-04-05 17:01:06,1,10005,3,NBC,0
2017-04-05 17:01:07,2,10002,3,NBC,1
2017-04-05 17:01:08,2,10004,5,MSNBC,4
2017-04-05 17:01:09,3,10003,4,CBS,UNCLEAR
2017-04-05 17:01:10,1,10005,3,NBC,0
2017-04-05 17:01:11,1,10004,3,NBC,0
2017-04-05 17:01:12,3,10004,5,MSNBC,UNCLEAR
2017-04-05 17:01:13,1,10005,1,BBC,0
2017-04-05 17:01:14,2,10005,3,NBC,5
2017-04-05 17:01:15,1,10005,3,NBC,0
2017-04-05 17:01:16,2,10003,4,CBS,4
2017-04-05 17:01:17,1,10003,1,BBC,0
2017-04-05 17:01:18,1,10001,2,CNN,0
2017-04-05 17:03:15,1,10076,10,TCM,0
2017-04-05 17:03:18,3,10014,3,NBC,UNCLEAR
2017-04-05 17:03:21,1,10039,4,CBS,0
2017-04-05 17:03:24,2,10033,3,NBC,4
2017-04-05 17:03:27,1,10097,7,NATGEO,0
2017-04-05 17:03:30,2,10011,2,CNN,3
2017-04-05 17:11:13,3,10002,2,CNN,UNCLEAR
2017-04-05 17:11:15,1,10001,1,BBC,0
2017-04-05 17:11:17,3,10003,2,CNN,UNCLEAR
2017-04-05 17:11:19,1,10001,2,CNN,0
2017-04-05 17:11:21,2,10003,1,BBC,3
2017-04-05 17:11:23,2,10001,1,BBC,2
2017-04-05 17:11:25,2,10003,3,NBC,4
2017-04-05 17:11:27,2,10002,3,NBC,4
2017-04-05 17:11:29,3,10002,2,CNN,UNCLEAR
2017-04-05 17:11:31,1,10003,2,CNN,0
2017-04-05 17:11:33,2,10002,1,BBC,2
2017-04-05 17:11:35,1,10003,1,BBC,0
2017-04-05 17:11:37,3,10001,1,BBC,UNCLEAR
2017-04-05 17:11:39,3,10002,3,NBC,UNCLEAR
2017-04-05 17:11:41,1,10003,2,CNN,0
2017-04-05 17:11:43,2,10002,3,NBC,4
2017-04-05 17:16:08,1,10082,9,MTV,0
2017-04-05 17:16:11,1,10071,1,BBC,0
2017-04-05 17:16:14,1,10031,5,MSNBC,0
2017-04-05 17:16:38,1,10058,10,TCM,0
2017-04-05 17:16:41,1,10061,7,NATGEO,0
2017-04-05 17:16:54,1,10073,1,BBC,0
2017-04-05 17:16:57,2,10086,9,MTV,3
2017-04-05 17:17:00,2,10020,10,TCM,5
2017-04-05 17:17:03,2,10022,8,HBO,1
2017-04-05 17:17:06,3,10069,2,CNN,UNCLEAR
2017-04-05 17:17:39,1,10022,1,BBC,0
2017-04-05 17:17:40,2,10009,2,CNN,4
2017-04-05 17:17:41,3,10063,1,BBC,UNCLEAR
2017-04-05 17:17:42,1,10058,2,CNN,0
2017-04-05 17:17:45,1,10076,1,BBC,0
2017-04-05 17:17:43,2,10023,1,BBC,2
2017-04-05 17:17:44,1,10025,1,BBC,0
2017-04-05 17:17:46,3,10072,2,CNN,UNCLEAR
2017-04-05 17:17:47,3,10084,1,BBC,UNCLEAR
